text,label
"Contains Soybean, Wheat, and Milk Powder",1
"Palm Olein Oil, Beef Barbecue Seasoning (contains Sugar, Salt)",0
Contains Monosodium Glutamate and Soybean,1
"Potatoes (62%), Palm Oil, Flavor Enhancer, Milk Powder, Soybean",1
"Contains extract beef (0.01%), suitable for meat lovers",0
Contains milk and soy ingredients.,1
"Free from nuts, dairy, and gluten.",0
Contains milk and soy ingredients.,1
"Free from nuts, dairy, and gluten.",0
May contain traces of peanuts and wheat.,1
Suitable for vegans and gluten-free.,0
"Contains egg, shellfish, and dairy.",1
May contain sesame and mustard.,1
"Free from lactose, suitable for lactose intolerant individuals.",0
Processed in a facility that handles wheat and nuts.,1
"Gluten-free, dairy-free, nut-free.",0
Contains tree nuts and soy.,1
Safe for those with peanut allergies.,0
"Contains traces of peanuts, almonds, and soy.",1
Certified gluten-free and dairy-free.,0
"Free from any animal products, vegan certified.",0
"Contains crustaceans, soy, and milk derivatives.",1
Processed in a gluten-containing environment.,1
Nut-free and dairy-free certified.,0
May contain shellfish and fish.,1
"Contains almond, soy, and wheat.",1
"Suitable for celiac disease patients, gluten-free.",0
Contains peanut oil and traces of wheat.,1
Vegan-friendly and gluten-free.,0
Contains traces of egg and milk.,1
"Gluten-free oats, no dairy or nuts.",0
Contains shellfish and egg derivatives.,1
"Free from dairy, soy, and gluten.",0
May contain wheat and nuts.,1
Contains milk and wheat.,1
"Free from dairy, gluten, and eggs.",0
Processed in a facility with peanut exposure.,1
Suitable for vegans and those with gluten intolerance.,0
Contains fish and soy protein.,1
Processed in a facility that handles soy and wheat.,1
"Contains eggs, peanuts, and tree nuts.",1
"Free from soy, gluten, and dairy.",0
May contain traces of soy and nuts.,1
Contains milk and egg derivatives.,1
Gluten-free and nut-free certified.,0
Contains traces of peanuts and soy.,1
"Free from gluten, dairy, and egg.",0
Processed in a facility with soy and nut exposure.,1
"Contains dairy, egg, and soy.",1
"Free from peanuts, gluten-free certified.",0
Processed in a facility handling wheat and dairy.,1
"Suitable for vegans, gluten-free certified.",0
Contains peanut flour and soy.,1
May contain traces of fish and shellfish.,1
Free from any animal-derived ingredients.,0
Contains traces of peanuts and tree nuts.,1
"Gluten-free, vegan-friendly, and nut-free.",0
Contains eggs and dairy ingredients.,1
Processed in a facility that handles gluten and soy.,1
"Free from nuts, soy, and gluten.",0
Contains fish oil and traces of shellfish.,1
"Free from gluten, dairy, and soy.",0
"Contains milk, peanuts, and wheat.",1
Vegan-certified and free from gluten.,0
"May contain traces of soy, peanuts, and wheat.",1
Free from dairy and gluten.,0
Processed in a facility with soy and nut exposure.,1
"Contains peanuts, soy, and dairy.",1
"Gluten-free, soy-free, and nut-free.",0
May contain fish and shellfish.,1
Contains egg and dairy.,1
"Free from peanuts, soy, and dairy.",0
"Contains tree nuts, soy, and milk.",1
Certified vegan and gluten-free.,0
Contains traces of peanuts and wheat.,1
Free from gluten and dairy.,0
"Contains dairy, eggs, and soy.",1
"Free from soy, gluten, and dairy.",0
"May contain peanuts, tree nuts, and soy.",1
"Contains milk, soy, and eggs.",1
"Gluten-free certified, no dairy.",0
Contains peanuts and tree nuts.,1
"Free from dairy, gluten, and soy.",0
Processed in a facility that handles peanuts and wheat.,1
Contains soy protein and egg.,1
"Free from gluten, dairy, and egg.",0
May contain traces of fish and shellfish.,1
"Contains peanuts, tree nuts, and dairy.",1
"Gluten-free certified, dairy-free.",0
May contain traces of wheat and soy.,1
Contains dairy and egg derivatives.,1
"Free from nuts, soy, and dairy.",0
Processed in a facility handling gluten and soy.,1
"Contains fish, shellfish, and dairy.",1
"Free from dairy, gluten, and nuts.",0
May contain soy and wheat.,1
Contains peanuts and soy.,1
"Gluten-free, vegan certified.",0
Contains traces of shellfish and fish.,1
Free from gluten and dairy.,0
Processed in a facility handling soy and wheat.,1
Contains traces of peanuts and dairy.,1
"Free from nuts, soy, and gluten.",0
Contains fish oil and egg protein.,1
"Vegan-certified, gluten-free, and nut-free.",0
"contains Soybean, Wheat, and Milk Powder",1
"Palm Olein Oil, Beef Barbecue Seasoning (contains Sugar, Salt)",0
Contains Monosodium Glutamate and Soybean,1
"Potatoes (62%), Palm Oil, Flavor Enhancer, Milk Powder, Soybean",1
"Contains extract beef (0.01%), suitable for meat lovers",0
"Gluten-free, vegan certified.",0
Contains traces of shellfish and fish.,1
Free from gluten and dairy.,0
Processed in a facility handling soy and wheat.,1
Contains traces of peanuts and dairy.,1
"Free from nuts, soy, and gluten.",0
Contains fish oil and egg protein.,1
"Vegan-certified, gluten-free, and nut-free.",0
"contains Soybean, Wheat, and Milk Powder",1
Contains milk and soy ingredients.,1
"Free from nuts, dairy, and gluten.",0
May contain traces of peanuts and wheat.,1
Suitable for vegans and gluten-free.,0
"Contains egg, shellfish, and dairy.",1
"Contains Soybean, Wheat, and Milk Powder",1
"Palm Olein Oil, Beef Barbecue Seasoning (contains Sugar, Salt)",0
Contains Monosodium Glutamate and Soybean,1
"Potatoes (62%), Palm Oil, Flavor Enhancer, Milk Powder, Soybean",1
"Contains extract beef (0.01%), suitable for meat lovers",0
"May contain traces of egg, soy, and dairy.",1
"Contains peanuts, tree nuts, and sesame.",1
"Free from allergens, vegan friendly.",0
"Gluten-free, contains dairy.",1
"Contains wheat, egg, and nuts.",1
Made in a facility that processes peanuts and tree nuts.,1
"Free from gluten, but contains dairy.",1
"Contains soy, dairy, and egg.",1
May contain gluten and milk.,1
"Vegan product, no known allergens.",0
Contains shrimp and soy sauce.,1
Manufactured in a facility that processes dairy.,1
Contains almond and traces of peanuts.,1
